ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10417279,HZ155256,2/17/2016 20:43,042XX W CULLERTON ST,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,1012,10,24,29,04A,1148394,1890082,2016,2/10/2018 15:50,41.854325,-87.7308205,"(41.854324995, -87.730820499)"
10417297,HZ155285,2/17/2016 21:22,053XX S PRINCETON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,TRUE,935,9,3,37,04A,1175192,1869567,2016,2/10/2018 15:50,41.79747195,-87.63307513,"(41.797471952, -87.633075129)"
10417313,HZ155281,2/17/2016 18:00,071XX S WENTWORTH AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,731,7,6,69,7,1176197,1857578,2016,2/10/2018 15:50,41.76455034,-87.62974941,"(41.764550342, -87.629749408)"
10417315,HZ155328,2/17/2016 22:15,031XX W MADISON ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1124,11,28,27,08A,1155522,1899851,2016,2/10/2018 15:50,41.88099194,-87.70439499,"(41.880991939, -87.704394994)"
10417330,HZ155339,2/17/2016 20:45,085XX W SUNNYSIDE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1614,16,36,76,04A,1118289,1928872,2016,2/10/2018 15:50,41.96129713,-87.84050258,"(41.96129713, -87.840502582)"
10417344,HZ155275,2/17/2016 14:30,068XX S BELL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,832,8,17,66,7,1162575,1859360,2016,2/10/2018 15:50,41.76973531,-87.67962811,"(41.769735312, -87.679628112)"
10417367,HZ154587,2/17/2016 10:55,005XX W HARRISON ST,560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,124,1,2,28,08A,1172659,1897574,2016,2/10/2018 15:50,41.87438184,-87.64153679,"(41.874381838, -87.641536792)"
10417368,HZ154664,2/17/2016 11:45,005XX W HARRISON ST,560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,124,1,2,28,08A,1172659,1897574,2016,2/10/2018 15:50,41.87438184,-87.64153679,"(41.874381838, -87.641536792)"
10417395,HZ155090,2/17/2016 18:04,113XX S FORRESTVILLE AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,531,5,9,50,08A,1181944,1829952,2016,2/10/2018 15:50,41.68861036,-87.60953671,"(41.688610361, -87.609536712)"
10417400,HZ155399,2/18/2016 1:10,099XX S PROSPECT AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,2213,22,19,72,04A,1167220,1838899,2016,2/10/2018 15:50,41.71348924,-87.66318561,"(41.71348924, -87.663185608)"
